date,day_of_week,day_type,holiday
5/2/92,Saturday,Non-Holiday Weekend,
5/3/92,Sunday,Non-Holiday Weekend,
5/4/92,Monday,Non-Holiday Weekday,
5/5/92,Tuesday,Party Holiday,Cinco de Mayo
5/6/92,Wednesday,Non-Holiday Weekday,
5/7/92,Thursday,Non-Holiday Weekday,
5/8/92,Friday,Non-Holiday Weekday,
5/9/92,Saturday,Non-Holiday Weekend,
5/10/92,Sunday,Non-Holiday Weekend,
5/11/92,Monday,Non-Holiday Weekday,
5/12/92,Tuesday,Non-Holiday Weekday,
5/13/92,Wednesday,Non-Holiday Weekday,
5/14/92,Thursday,Non-Holiday Weekday,
5/15/92,Friday,Non-Holiday Weekday,
5/16/92,Saturday,Non-Holiday Weekend,
5/17/92,Sunday,Non-Holiday Weekend,
5/18/92,Monday,Non-Holiday Weekday,
5/19/92,Tuesday,Non-Holiday Weekday,
5/20/92,Wednesday,Non-Holiday Weekday,
5/21/92,Thursday,Non-Holiday Weekday,
5/22/92,Friday,Non-Holiday Weekday,
5/23/92,Saturday,Non-Holiday Weekend,
5/24/92,Sunday,Non-Holiday Weekend,
5/25/92,Monday,National Holiday,Memorial Day
5/26/92,Tuesday,Non-Holiday Weekday,
5/27/92,Wednesday,Non-Holiday Weekday,
5/28/92,Thursday,Non-Holiday Weekday,
5/29/92,Friday,Non-Holiday Weekday,
5/30/92,Saturday,Non-Holiday Weekend,
5/31/92,Sunday,Non-Holiday Weekend,
6/1/92,Monday,Non-Holiday Weekday,
6/2/92,Tuesday,Non-Holiday Weekday,
6/3/92,Wednesday,Non-Holiday Weekday,
6/4/92,Thursday,Non-Holiday Weekday,
6/5/92,Friday,Non-Holiday Weekday,
6/6/92,Saturday,Non-Holiday Weekend,
6/7/92,Sunday,Non-Holiday Weekend,
6/8/92,Monday,Non-Holiday Weekday,
6/9/92,Tuesday,Non-Holiday Weekday,
6/10/92,Wednesday,Non-Holiday Weekday,
6/11/92,Thursday,Non-Holiday Weekday,
6/12/92,Friday,Non-Holiday Weekday,
6/13/92,Saturday,Non-Holiday Weekend,
6/14/92,Sunday,Non-Holiday Weekend,
6/15/92,Monday,Non-Holiday Weekday,
6/16/92,Tuesday,Non-Holiday Weekday,
6/17/92,Wednesday,Non-Holiday Weekday,
6/18/92,Thursday,Non-Holiday Weekday,
6/19/92,Friday,Non-Holiday Weekday,
6/20/92,Saturday,Non-Holiday Weekend,
6/21/92,Sunday,Non-Holiday Weekend,
6/22/92,Monday,Non-Holiday Weekday,
6/23/92,Tuesday,Non-Holiday Weekday,
6/24/92,Wednesday,Non-Holiday Weekday,
6/25/92,Thursday,Non-Holiday Weekday,
6/26/92,Friday,Non-Holiday Weekday,
6/27/92,Saturday,Non-Holiday Weekend,
6/28/92,Sunday,Non-Holiday Weekend,
6/29/92,Monday,Non-Holiday Weekday,
6/30/92,Tuesday,Non-Holiday Weekday,
7/1/92,Wednesday,Non-Holiday Weekday,
7/2/92,Thursday,Non-Holiday Weekday,
7/3/92,Friday,National Holiday (Observed),
7/4/92,Saturday,National Holiday,Independence Day
7/5/92,Sunday,Non-Holiday Weekend,
7/6/92,Monday,Non-Holiday Weekday,
7/7/92,Tuesday,Non-Holiday Weekday,
7/8/92,Wednesday,Non-Holiday Weekday,
7/9/92,Thursday,Non-Holiday Weekday,
7/10/92,Friday,Non-Holiday Weekday,
7/11/92,Saturday,Non-Holiday Weekend,
7/12/92,Sunday,Non-Holiday Weekend,
7/13/92,Monday,Non-Holiday Weekday,
7/14/92,Tuesday,Non-Holiday Weekday,
7/15/92,Wednesday,Non-Holiday Weekday,
7/16/92,Thursday,Non-Holiday Weekday,
7/17/92,Friday,Non-Holiday Weekday,
7/18/92,Saturday,Non-Holiday Weekend,
7/19/92,Sunday,Non-Holiday Weekend,
7/20/92,Monday,Non-Holiday Weekday,
7/21/92,Tuesday,Non-Holiday Weekday,
7/22/92,Wednesday,Non-Holiday Weekday,
7/23/92,Thursday,Non-Holiday Weekday,
7/24/92,Friday,Non-Holiday Weekday,
7/25/92,Saturday,Non-Holiday Weekend,
7/26/92,Sunday,Non-Holiday Weekend,
7/27/92,Monday,Non-Holiday Weekday,
7/28/92,Tuesday,Non-Holiday Weekday,
7/29/92,Wednesday,Non-Holiday Weekday,
7/30/92,Thursday,Non-Holiday Weekday,
7/31/92,Friday,Non-Holiday Weekday,
8/1/92,Saturday,Non-Holiday Weekend,
8/2/92,Sunday,Non-Holiday Weekend,
8/3/92,Monday,Non-Holiday Weekday,
8/4/92,Tuesday,Non-Holiday Weekday,
8/5/92,Wednesday,Non-Holiday Weekday,
8/6/92,Thursday,Non-Holiday Weekday,
8/7/92,Friday,Non-Holiday Weekday,
8/8/92,Saturday,Non-Holiday Weekend,
8/9/92,Sunday,Non-Holiday Weekend,
8/10/92,Monday,Non-Holiday Weekday,
8/11/92,Tuesday,Non-Holiday Weekday,
8/12/92,Wednesday,Non-Holiday Weekday,
8/13/92,Thursday,Non-Holiday Weekday,
8/14/92,Friday,Non-Holiday Weekday,
8/15/92,Saturday,Non-Holiday Weekend,
8/16/92,Sunday,Non-Holiday Weekend,
8/17/92,Monday,Non-Holiday Weekday,
8/18/92,Tuesday,Non-Holiday Weekday,
8/19/92,Wednesday,Non-Holiday Weekday,
8/20/92,Thursday,Non-Holiday Weekday,
8/21/92,Friday,Non-Holiday Weekday,
8/22/92,Saturday,Non-Holiday Weekend,
8/23/92,Sunday,Non-Holiday Weekend,
8/24/92,Monday,Non-Holiday Weekday,
8/25/92,Tuesday,Non-Holiday Weekday,
8/26/92,Wednesday,Non-Holiday Weekday,
8/27/92,Thursday,Non-Holiday Weekday,
8/28/92,Friday,Non-Holiday Weekday,
8/29/92,Saturday,Non-Holiday Weekend,
8/30/92,Sunday,Non-Holiday Weekend,
8/31/92,Monday,Non-Holiday Weekday,
9/1/92,Tuesday,Non-Holiday Weekday,
9/2/92,Wednesday,Non-Holiday Weekday,
9/3/92,Thursday,Non-Holiday Weekday,
9/4/92,Friday,Non-Holiday Weekday,
9/5/92,Saturday,Non-Holiday Weekend,
9/6/92,Sunday,Non-Holiday Weekend,
9/7/92,Monday,National Holiday,Labor Day
9/8/92,Tuesday,Non-Holiday Weekday,
9/9/92,Wednesday,Non-Holiday Weekday,
9/10/92,Thursday,Non-Holiday Weekday,
9/11/92,Friday,Non-Holiday Weekday,
9/12/92,Saturday,Non-Holiday Weekend,
9/13/92,Sunday,Non-Holiday Weekend,
9/14/92,Monday,Non-Holiday Weekday,
9/15/92,Tuesday,Non-Holiday Weekday,
9/16/92,Wednesday,Non-Holiday Weekday,
9/17/92,Thursday,Non-Holiday Weekday,
9/18/92,Friday,Non-Holiday Weekday,
9/19/92,Saturday,Non-Holiday Weekend,
9/20/92,Sunday,Non-Holiday Weekend,
9/21/92,Monday,Non-Holiday Weekday,
9/22/92,Tuesday,Non-Holiday Weekday,
9/23/92,Wednesday,Non-Holiday Weekday,
9/24/92,Thursday,Non-Holiday Weekday,
9/25/92,Friday,Non-Holiday Weekday,
9/26/92,Saturday,Non-Holiday Weekend,
9/27/92,Sunday,Non-Holiday Weekend,
9/28/92,Monday,Non-Holiday Weekday,
9/29/92,Tuesday,Non-Holiday Weekday,
9/30/92,Wednesday,Non-Holiday Weekday,
10/1/92,Thursday,Non-Holiday Weekday,
10/2/92,Friday,Non-Holiday Weekday,
10/3/92,Saturday,Non-Holiday Weekend,
10/4/92,Sunday,Non-Holiday Weekend,
10/5/92,Monday,Non-Holiday Weekday,
10/6/92,Tuesday,Non-Holiday Weekday,
10/7/92,Wednesday,Non-Holiday Weekday,
10/8/92,Thursday,Non-Holiday Weekday,
10/9/92,Friday,Non-Holiday Weekday,
10/10/92,Saturday,Non-Holiday Weekend,
10/11/92,Sunday,Non-Holiday Weekend,
10/12/92,Monday,National Holiday,Columbus Day
10/13/92,Tuesday,Non-Holiday Weekday,
10/14/92,Wednesday,Non-Holiday Weekday,
10/15/92,Thursday,Non-Holiday Weekday,
10/16/92,Friday,Non-Holiday Weekday,
10/17/92,Saturday,Non-Holiday Weekend,
10/18/92,Sunday,Non-Holiday Weekend,
10/19/92,Monday,Non-Holiday Weekday,
10/20/92,Tuesday,Non-Holiday Weekday,
10/21/92,Wednesday,Non-Holiday Weekday,
10/22/92,Thursday,Non-Holiday Weekday,
10/23/92,Friday,Non-Holiday Weekday,
10/24/92,Saturday,Non-Holiday Weekend,
10/25/92,Sunday,Non-Holiday Weekend,
10/26/92,Monday,Non-Holiday Weekday,
10/27/92,Tuesday,Non-Holiday Weekday,
10/28/92,Wednesday,Non-Holiday Weekday,
10/29/92,Thursday,Non-Holiday Weekday,
10/30/92,Friday,Non-Holiday Weekday,
10/31/92,Saturday,Party Holiday,Halloween
11/1/92,Sunday,Non-Holiday Weekend,
11/2/92,Monday,Non-Holiday Weekday,
11/3/92,Tuesday,Non-Holiday Weekday,
11/4/92,Wednesday,Non-Holiday Weekday,
11/5/92,Thursday,Non-Holiday Weekday,
11/6/92,Friday,Non-Holiday Weekday,
11/7/92,Saturday,Non-Holiday Weekend,
11/8/92,Sunday,Non-Holiday Weekend,
11/9/92,Monday,Non-Holiday Weekday,
11/10/92,Tuesday,Non-Holiday Weekday,
11/11/92,Wednesday,National Holiday,Veterans Day
11/12/92,Thursday,Non-Holiday Weekday,
11/13/92,Friday,Non-Holiday Weekday,
11/14/92,Saturday,Non-Holiday Weekend,
11/15/92,Sunday,Non-Holiday Weekend,
11/16/92,Monday,Non-Holiday Weekday,
11/17/92,Tuesday,Non-Holiday Weekday,
11/18/92,Wednesday,Non-Holiday Weekday,
11/19/92,Thursday,Non-Holiday Weekday,
11/20/92,Friday,Non-Holiday Weekday,
11/21/92,Saturday,Non-Holiday Weekend,
11/22/92,Sunday,Non-Holiday Weekend,
11/23/92,Monday,Non-Holiday Weekday,
11/24/92,Tuesday,Non-Holiday Weekday,
11/25/92,Wednesday,Party Holiday,Thanksgiving Eve
11/26/92,Thursday,National Holiday,Thanksgiving Day
11/27/92,Friday,Non-Holiday Weekday,
11/28/92,Saturday,Non-Holiday Weekend,
11/29/92,Sunday,Non-Holiday Weekend,
11/30/92,Monday,Non-Holiday Weekday,
12/1/92,Tuesday,Non-Holiday Weekday,
12/2/92,Wednesday,Non-Holiday Weekday,
12/3/92,Thursday,Non-Holiday Weekday,
12/4/92,Friday,Non-Holiday Weekday,
12/5/92,Saturday,Non-Holiday Weekend,
12/6/92,Sunday,Non-Holiday Weekend,
12/7/92,Monday,Non-Holiday Weekday,
12/8/92,Tuesday,Non-Holiday Weekday,
12/9/92,Wednesday,Non-Holiday Weekday,
12/10/92,Thursday,Non-Holiday Weekday,
12/11/92,Friday,Non-Holiday Weekday,
12/12/92,Saturday,Non-Holiday Weekend,
12/13/92,Sunday,Non-Holiday Weekend,
12/14/92,Monday,Non-Holiday Weekday,
12/15/92,Tuesday,Non-Holiday Weekday,
12/16/92,Wednesday,Non-Holiday Weekday,
12/17/92,Thursday,Non-Holiday Weekday,
12/18/92,Friday,Non-Holiday Weekday,
12/19/92,Saturday,Non-Holiday Weekend,
12/20/92,Sunday,Non-Holiday Weekend,
12/21/92,Monday,Non-Holiday Weekday,
12/22/92,Tuesday,Non-Holiday Weekday,
12/23/92,Wednesday,Non-Holiday Weekday,
12/24/92,Thursday,Non-Holiday Weekday,
12/25/92,Friday,National Holiday,Christmas Day
12/26/92,Saturday,Non-Holiday Weekend,
12/27/92,Sunday,Non-Holiday Weekend,
12/28/92,Monday,Non-Holiday Weekday,
12/29/92,Tuesday,Non-Holiday Weekday,
12/30/92,Wednesday,Non-Holiday Weekday,
12/31/92,Thursday,Party Holiday,New Year's Eve
1/1/93,Friday,National Holiday,New Year's Day
1/2/93,Saturday,Non-Holiday Weekend,
1/3/93,Sunday,Non-Holiday Weekend,
1/4/93,Monday,Non-Holiday Weekday,
1/5/93,Tuesday,Non-Holiday Weekday,
1/6/93,Wednesday,Non-Holiday Weekday,
1/7/93,Thursday,Non-Holiday Weekday,
1/8/93,Friday,Non-Holiday Weekday,
1/9/93,Saturday,Non-Holiday Weekend,
1/10/93,Sunday,Non-Holiday Weekend,
1/11/93,Monday,Non-Holiday Weekday,
1/12/93,Tuesday,Non-Holiday Weekday,
1/13/93,Wednesday,Non-Holiday Weekday,
1/14/93,Thursday,Non-Holiday Weekday,
1/15/93,Friday,Non-Holiday Weekday,
1/16/93,Saturday,Non-Holiday Weekend,
1/17/93,Sunday,Non-Holiday Weekend,
1/18/93,Monday,National Holiday,MLK Day
1/19/93,Tuesday,Non-Holiday Weekday,
1/20/93,Wednesday,Non-Holiday Weekday,
1/21/93,Thursday,Non-Holiday Weekday,
1/22/93,Friday,Non-Holiday Weekday,
1/23/93,Saturday,Non-Holiday Weekend,
1/24/93,Sunday,Non-Holiday Weekend,
1/25/93,Monday,Non-Holiday Weekday,
1/26/93,Tuesday,Non-Holiday Weekday,
1/27/93,Wednesday,Non-Holiday Weekday,
1/28/93,Thursday,Non-Holiday Weekday,
1/29/93,Friday,Non-Holiday Weekday,
1/30/93,Saturday,Non-Holiday Weekend,
1/31/93,Sunday,Non-Holiday Weekend,
2/1/93,Monday,Non-Holiday Weekday,
2/2/93,Tuesday,Non-Holiday Weekday,
2/3/93,Wednesday,Non-Holiday Weekday,
2/4/93,Thursday,Non-Holiday Weekday,
2/5/93,Friday,Non-Holiday Weekday,
2/6/93,Saturday,Non-Holiday Weekend,
2/7/93,Sunday,Party Holiday,Super Bowl Sunday
2/8/93,Monday,Non-Holiday Weekday,
2/9/93,Tuesday,Non-Holiday Weekday,
2/10/93,Wednesday,Non-Holiday Weekday,
2/11/93,Thursday,Non-Holiday Weekday,
2/12/93,Friday,Non-Holiday Weekday,
2/13/93,Saturday,Non-Holiday Weekend,
2/14/93,Sunday,Non-Holiday Weekend,
2/15/93,Monday,National Holiday,President's Day
2/16/93,Tuesday,Non-Holiday Weekday,
2/17/93,Wednesday,Non-Holiday Weekday,
2/18/93,Thursday,Non-Holiday Weekday,
2/19/93,Friday,Non-Holiday Weekday,
2/20/93,Saturday,Non-Holiday Weekend,
2/21/93,Sunday,Non-Holiday Weekend,
2/22/93,Monday,Non-Holiday Weekday,
2/23/93,Tuesday,Non-Holiday Weekday,
2/24/93,Wednesday,Non-Holiday Weekday,
2/25/93,Thursday,Non-Holiday Weekday,
2/26/93,Friday,Non-Holiday Weekday,
2/27/93,Saturday,Non-Holiday Weekend,
2/28/93,Sunday,Non-Holiday Weekend,
3/1/93,Monday,Non-Holiday Weekday,
3/2/93,Tuesday,Party Holiday,Mardi Gras
3/3/93,Wednesday,Non-Holiday Weekday,
3/4/93,Thursday,Non-Holiday Weekday,
3/5/93,Friday,Non-Holiday Weekday,
3/6/93,Saturday,Non-Holiday Weekend,
3/7/93,Sunday,Non-Holiday Weekend,
3/8/93,Monday,Non-Holiday Weekday,
3/9/93,Tuesday,Non-Holiday Weekday,
3/10/93,Wednesday,Non-Holiday Weekday,
3/11/93,Thursday,Non-Holiday Weekday,
3/12/93,Friday,Non-Holiday Weekday,
3/13/93,Saturday,Non-Holiday Weekend,
3/14/93,Sunday,Non-Holiday Weekend,
3/15/93,Monday,Non-Holiday Weekday,
3/16/93,Tuesday,Non-Holiday Weekday,
3/17/93,Wednesday,Party Holiday,St. Patty's Day
3/18/93,Thursday,Non-Holiday Weekday,
3/19/93,Friday,Non-Holiday Weekday,
3/20/93,Saturday,Non-Holiday Weekend,
3/21/93,Sunday,Non-Holiday Weekend,
3/22/93,Monday,Non-Holiday Weekday,
3/23/93,Tuesday,Non-Holiday Weekday,
3/24/93,Wednesday,Non-Holiday Weekday,
3/25/93,Thursday,Non-Holiday Weekday,
3/26/93,Friday,Non-Holiday Weekday,
3/27/93,Saturday,Non-Holiday Weekend,
3/28/93,Sunday,Non-Holiday Weekend,
3/29/93,Monday,Non-Holiday Weekday,
3/30/93,Tuesday,Non-Holiday Weekday,
3/31/93,Wednesday,Non-Holiday Weekday,
4/1/93,Thursday,Non-Holiday Weekday,
4/2/93,Friday,Non-Holiday Weekday,
4/3/93,Saturday,Non-Holiday Weekend,
4/4/93,Sunday,Non-Holiday Weekend,
4/5/93,Monday,Non-Holiday Weekday,
4/6/93,Tuesday,Non-Holiday Weekday,
4/7/93,Wednesday,Non-Holiday Weekday,
4/8/93,Thursday,Non-Holiday Weekday,
4/9/93,Friday,Non-Holiday Weekday,
4/10/93,Saturday,Non-Holiday Weekend,
4/11/93,Sunday,Non-Holiday Weekend,
4/12/93,Monday,Non-Holiday Weekday,
4/13/93,Tuesday,Non-Holiday Weekday,
4/14/93,Wednesday,Non-Holiday Weekday,
4/15/93,Thursday,Non-Holiday Weekday,
4/16/93,Friday,Non-Holiday Weekday,
4/17/93,Saturday,Non-Holiday Weekend,
4/18/93,Sunday,Non-Holiday Weekend,
4/19/93,Monday,Non-Holiday Weekday,
4/20/93,Tuesday,Party Holiday,420
4/21/93,Wednesday,Non-Holiday Weekday,
4/22/93,Thursday,Non-Holiday Weekday,
4/23/93,Friday,Non-Holiday Weekday,
4/24/93,Saturday,Non-Holiday Weekend,
4/25/93,Sunday,Non-Holiday Weekend,
4/26/93,Monday,Non-Holiday Weekday,
4/27/93,Tuesday,Non-Holiday Weekday,
4/28/93,Wednesday,Non-Holiday Weekday,
4/29/93,Thursday,Non-Holiday Weekday,
4/30/93,Friday,Non-Holiday Weekday,
5/1/93,Saturday,Non-Holiday Weekend,
5/2/93,Sunday,Non-Holiday Weekend,
5/3/93,Monday,Non-Holiday Weekday,
5/4/93,Tuesday,Non-Holiday Weekday,
5/5/93,Wednesday,Party Holiday,Cinco de Mayo
5/6/93,Thursday,Non-Holiday Weekday,
5/7/93,Friday,Non-Holiday Weekday,
5/8/93,Saturday,Non-Holiday Weekend,
5/9/93,Sunday,Non-Holiday Weekend,
5/10/93,Monday,Non-Holiday Weekday,
5/11/93,Tuesday,Non-Holiday Weekday,
5/12/93,Wednesday,Non-Holiday Weekday,
5/13/93,Thursday,Non-Holiday Weekday,
5/14/93,Friday,Non-Holiday Weekday,
5/15/93,Saturday,Non-Holiday Weekend,
5/16/93,Sunday,Non-Holiday Weekend,
5/17/93,Monday,Non-Holiday Weekday,
5/18/93,Tuesday,Non-Holiday Weekday,
5/19/93,Wednesday,Non-Holiday Weekday,
5/20/93,Thursday,Non-Holiday Weekday,
5/21/93,Friday,Non-Holiday Weekday,
5/22/93,Saturday,Non-Holiday Weekend,
5/23/93,Sunday,Non-Holiday Weekend,
5/24/93,Monday,Non-Holiday Weekday,
5/25/93,Tuesday,Non-Holiday Weekday,
5/26/93,Wednesday,Non-Holiday Weekday,
5/27/93,Thursday,Non-Holiday Weekday,
5/28/93,Friday,Non-Holiday Weekday,
5/29/93,Saturday,Non-Holiday Weekend,
5/30/93,Sunday,Non-Holiday Weekend,
5/31/93,Monday,National Holiday,Memorial Day
6/1/93,Tuesday,Non-Holiday Weekday,
6/2/93,Wednesday,Non-Holiday Weekday,
6/3/93,Thursday,Non-Holiday Weekday,
6/4/93,Friday,Non-Holiday Weekday,
6/5/93,Saturday,Non-Holiday Weekend,
6/6/93,Sunday,Non-Holiday Weekend,
6/7/93,Monday,Non-Holiday Weekday,
6/8/93,Tuesday,Non-Holiday Weekday,
6/9/93,Wednesday,Non-Holiday Weekday,
6/10/93,Thursday,Non-Holiday Weekday,
6/11/93,Friday,Non-Holiday Weekday,
6/12/93,Saturday,Non-Holiday Weekend,
6/13/93,Sunday,Non-Holiday Weekend,
6/14/93,Monday,Non-Holiday Weekday,
6/15/93,Tuesday,Non-Holiday Weekday,
6/16/93,Wednesday,Non-Holiday Weekday,
6/17/93,Thursday,Non-Holiday Weekday,
6/18/93,Friday,Non-Holiday Weekday,
6/19/93,Saturday,Non-Holiday Weekend,
6/20/93,Sunday,Non-Holiday Weekend,
6/21/93,Monday,Non-Holiday Weekday,
6/22/93,Tuesday,Non-Holiday Weekday,
6/23/93,Wednesday,Non-Holiday Weekday,
6/24/93,Thursday,Non-Holiday Weekday,
6/25/93,Friday,Non-Holiday Weekday,
6/26/93,Saturday,Non-Holiday Weekend,
6/27/93,Sunday,Non-Holiday Weekend,
6/28/93,Monday,Non-Holiday Weekday,
6/29/93,Tuesday,Non-Holiday Weekday,
6/30/93,Wednesday,Non-Holiday Weekday,
7/1/93,Thursday,Non-Holiday Weekday,
7/2/93,Friday,Non-Holiday Weekday,
7/3/93,Saturday,Non-Holiday Weekend,
7/4/93,Sunday,National Holiday,Independence Day
7/5/93,Monday,National Holiday (Observed),
7/6/93,Tuesday,Non-Holiday Weekday,
7/7/93,Wednesday,Non-Holiday Weekday,
7/8/93,Thursday,Non-Holiday Weekday,
7/9/93,Friday,Non-Holiday Weekday,
7/10/93,Saturday,Non-Holiday Weekend,
7/11/93,Sunday,Non-Holiday Weekend,
7/12/93,Monday,Non-Holiday Weekday,
7/13/93,Tuesday,Non-Holiday Weekday,
7/14/93,Wednesday,Non-Holiday Weekday,
7/15/93,Thursday,Non-Holiday Weekday,
7/16/93,Friday,Non-Holiday Weekday,
7/17/93,Saturday,Non-Holiday Weekend,
7/18/93,Sunday,Non-Holiday Weekend,
7/19/93,Monday,Non-Holiday Weekday,
7/20/93,Tuesday,Non-Holiday Weekday,
7/21/93,Wednesday,Non-Holiday Weekday,
7/22/93,Thursday,Non-Holiday Weekday,
7/23/93,Friday,Non-Holiday Weekday,
7/24/93,Saturday,Non-Holiday Weekend,
7/25/93,Sunday,Non-Holiday Weekend,
7/26/93,Monday,Non-Holiday Weekday,
7/27/93,Tuesday,Non-Holiday Weekday,
7/28/93,Wednesday,Non-Holiday Weekday,
7/29/93,Thursday,Non-Holiday Weekday,
7/30/93,Friday,Non-Holiday Weekday,
7/31/93,Saturday,Non-Holiday Weekend,
8/1/93,Sunday,Non-Holiday Weekend,
8/2/93,Monday,Non-Holiday Weekday,
8/3/93,Tuesday,Non-Holiday Weekday,
